# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0031326	BP	p	regulation of cellular biosynthetic process	19/336	268/2550	0.0011289382117042894	5	19	1.0	1.0	1.0	0.27733628177495345	acnB, aidB, arcB, creB, cysB, dpiB, glnB, greB, hipB, ihfB, nusB, phoB, pspB, qseB, rcsB, rsmB, rssB, selB, ubiB
GO:0060255	BP	p	regulation of macromolecule metabolic process	23/336	306/2550	0.0011503751750084484	4	23	1.0	1.0	1.0	0.27733628177495345	abrB, acnB, aidB, arcB, chpB, creB, cysB, dpiB, greB, hipB, ihfB, lipB, nusB, phoB, pspB, qseB, rcsB, rraB, rseB, rsmB, rssB, selB, sspB
GO:1903506	BP	p	regulation of nucleic acid-templated transcription	15/336	227/2550	0.0013551527791978086	8	15	1.0	1.0	1.0	0.30157361463225074	aidB, arcB, creB, cysB, dpiB, greB, hipB, ihfB, nusB, phoB, pspB, qseB, rcsB, rsmB, rssB
GO:0051172	BP	p	negative regulation of nitrogen compound metabolic process	5/336	118/2550	0.0018804174000209928	5	5	1.0	1.0	1.0	0.37400392090378504	aidB, hipB, rcsB, rraB, rssB
GO:0031323	BP	p	regulation of cellular metabolic process	23/336	299/2550	0.0019391838277071469	4	23	1.0	1.0	1.0	0.37400392090378504	acnB, aidB, arcB, chpB, creB, cysB, dpiB, elbB, glnB, greB, hipB, ihfB, nusB, phoB, pspB, pstB, qseB, rcsB, rraB, rsmB, rssB, selB, ubiB
GO:0009889	BP	p	regulation of biosynthetic process	20/336	270/2550	0.0022280502057057173	4	20	1.0	1.0	1.0	0.3883094747034244	acnB, aidB, arcB, creB, cysB, dpiB, glnB, greB, hipB, ihfB, nusB, phoB, pspB, qseB, rcsB, rseB, rsmB, rssB, selB, ubiB
GO:0006355	BP	p	regulation of transcription, DNA-templated	15/336	222/2550	0.002422115571425587	9	15	1.0	1.0	1.0	0.3883094747034244	aidB, arcB, creB, cysB, dpiB, greB, hipB, ihfB, nusB, phoB, pspB, qseB, rcsB, rsmB, rssB
GO:0051252	BP	p	regulation of RNA metabolic process	17/336	241/2550	0.0025159254615027796	6	17	1.0	1.0	1.0	0.3883094747034244	aidB, arcB, chpB, creB, cysB, dpiB, greB, hipB, ihfB, nusB, phoB, pspB, qseB, rcsB, rraB, rsmB, rssB
GO:0009892	BP	p	negative regulation of metabolic process	7/336	136/2550	0.0025502523399118784	4	7	1.0	1.0	1.0	0.3883094747034244	aidB, chpB, hipB, lipB, rcsB, rraB, rssB
GO:0050794	BP	p	regulation of cellular process	32/336	379/2550	0.002934850672889868	3	32	1.0	1.0	1.0	0.42452614983351944	acnB, aidB, arcB, cheB, chpB, clcB, creB, cysB, dpiB, elbB, glnB, greB, grxB, hipB, ihfB, mgrB, mrcB, mreB, nusB, phoB, pspB, pstB, qseB, rcsB, rraB, rsmB, rssB, rstB, selB, suhB, ubiB, uhpB
GO:0080090	BP	p	regulation of primary metabolic process	23/336	295/2550	0.0032442591452531903	4	23	1.0	1.0	1.0	0.43625074220804144	acnB, aidB, arcB, chpB, creB, cysB, dpiB, elbB, glnB, greB, hipB, ihfB, nusB, phoB, pspB, qseB, rcsB, rraB, rseB, rsmB, rssB, selB, sspB
GO:0045892	BP	p	negative regulation of transcription, DNA-templated	3/336	87/2550	0.0033174961384641933	10	3	1.0	1.0	1.0	0.43625074220804144	aidB, hipB, rcsB
GO:0010605	BP	p	negative regulation of macromolecule metabolic process	7/336	133/2550	0.003520744650299267	5	7	1.0	1.0	1.0	0.44284844666590345	aidB, chpB, hipB, lipB, rcsB, rraB, rssB
GO:0010468	BP	p	regulation of gene expression	21/336	268/2550	0.005436844204384026	5	21	1.0	1.0	1.0	0.6553662618034578	abrB, acnB, aidB, arcB, chpB, creB, cysB, dpiB, greB, hipB, ihfB, lipB, nusB, phoB, pspB, qseB, rcsB, rraB, rsmB, rssB, selB
GO:0048519	BP	p	negative regulation of biological process	9/336	151/2550	0.005891276421180137	3	9	1.0	1.0	1.0	0.6817385074589654	aidB, chpB, hipB, lipB, mgrB, mreB, rcsB, rraB, rssB
GO:0048523	BP	p	negative regulation of cellular process	8/336	139/2550	0.006287200480167942	4	8	1.0	1.0	1.0	0.6995719611202251	aidB, chpB, hipB, mgrB, mreB, rcsB, rraB, rssB
GO:1902679	BP	p	negative regulation of RNA biosynthetic process	4/336	94/2550	0.007377845578311392	8	4	1.0	1.0	1.0	0.7580401857336786	aidB, hipB, rcsB, rssB
GO:1903507	BP	p	negative regulation of nucleic acid-templated transcription	4/336	94/2550	0.007377845578311392	9	4	1.0	1.0	1.0	0.7580401857336786	aidB, hipB, rcsB, rssB
GO:0019222	BP	p	regulation of metabolic process	27/336	319/2550	0.007702571706180486	3	27	1.0	1.0	1.0	0.7580401857336786	abrB, acnB, aidB, arcB, chpB, creB, cysB, dpiB, elbB, glnB, greB, hipB, ihfB, lipB, nusB, phoB, pspB, pstB, qseB, rcsB, rraB, rseB, rsmB, rssB, selB, sspB, ubiB
GO:0050789	BP	p	regulation of biological process	40/336	433/2550	0.007860769295544542	2	40	1.0	1.0	1.0	0.7580401857336786	abrB, acnB, aidB, arcB, cheB, chpB, clcB, creB, cysB, dacB, ddlB, dpiB, elbB, glnB, greB, grxB, hipB, ihfB, lipB, mgrB, mrcB, mrdB, mreB, murB, nusB, phoB, pspB, pstB, qseB, rcsB, rraB, rseB, rsmB, rssB, rstB, selB, sspB, suhB, ubiB, uhpB
GO:0065007	BP	p	biological regulation	50/336	517/2550	0.008614084663217536	1	50	1.0	1.0	1.0	0.8038886106673655	abrB, acnB, aidB, arcB, cheB, chpB, clcB, creB, cysB, dacB, ddlB, dpiB, efeB, elbB, exbB, fecB, feoB, fepB, fhuB, ftnB, glnB, greB, grxB, hipB, hscB, ibpB, ihfB, lipB, mgrB, mrcB, mrdB, mreB, murB, nhaB, nusB, phoB, pspB, pstB, qseB, rcsB, rraB, rseB, rsmB, rssB, rstB, selB, sspB, suhB, ubiB, uhpB
GO:0045934	BP	p	negative regulation of nucleobase-containing compound metabolic process	5/336	100/2550	0.009931773516654186	6	5	1.0	1.0	1.0	0.8706854782933503	aidB, hipB, rcsB, rraB, rssB
GO:0051253	BP	p	negative regulation of RNA metabolic process	5/336	98/2550	0.013870229219062138	7	5	1.0	1.0	1.0	1.0	aidB, hipB, rcsB, rraB, rssB
GO:0006979	BP	p	response to oxidative stress	2/336	59/2550	0.01873912936609052	3	2	1.0	1.0	1.0	1.0	msrB, sodB
GO:0009891	BP	p	positive regulation of biosynthetic process	5/336	87/2550	0.03535869113355368	5	5	1.0	1.0	1.0	1.0	creB, phoB, qseB, rcsB, rssB
GO:0010557	BP	p	positive regulation of macromolecule biosynthetic process	5/336	87/2550	0.03535869113355368	6	5	1.0	1.0	1.0	1.0	creB, phoB, qseB, rcsB, rssB
GO:0031328	BP	p	positive regulation of cellular biosynthetic process	5/336	86/2550	0.035430763061426035	6	5	1.0	1.0	1.0	1.0	creB, phoB, qseB, rcsB, rssB
GO:0005575	CC	e	cellular_component	284/336	1948/2550	0.00010845204565379978	0	284	0.027546819596065142	0.026854973393675673	0.027546819596065142	0.027546819596065142	aaeB, abgB, abrB, accB, aceB, acnB, acrB, agaB, aidB, alkB, allB, amiB, amtB, ansB, appB, araB, arcB, argB, arnB, aroB, arsB, ascB, asnB, atpB, bamB, bcsB, betB, bglB, btuB, cadB, caiB, carB, ccmB, chbB, cheB, clcB, clpB, cmoB, cmtB, codB, cpdB, crcB, creB, csgB, cybB, cydB, cyoB, cysB, dacB, dapB, dcrB, dcuB, ddlB, ddpB, deoB, dinB, djlB, dkgB, dmsB, dnaB, dpiB, dppB, dsbB, dtpB, eamB, ecnB, efeB, elbB, emrB, entB, eptB, eutB, exbB, fabB, fadB, fbaB, feaB, fecB, feoB, fepB, fhuB, fklB, fkpB, flgB, flhB, folB, frdB, frlB, frmB, fruB, frvB, frwB, fryB, fsaB, ftnB, ftsB, gatB, gfcB, ghrB, glcB, glgB, glnB, glpB, gltB, gmhB, grxB, gshB, gsiB, guaB, gyrB, hdeB, hemB, hipB, hisB, holB, hscB, hupB, hyaB, hybB, hyfB, ibpB, ihfB, ilvB, infB, ispB, kdpB, kdsB, kefB, lamB, lepB, leuB, ligB, lipB, lolB, lptB, lpxB, lsrB, macB, marB, mdaB, mdlB, mdtB, melB, menB, metB, mglB, mgrB, miaB, mlaB, mltB, moaB, modB, moeB, motB, mrcB, mrdB, mreB, msrB, msyB, mukB, murB, nadB, nagB, napB, nfrB, nfsB, nhaB, nikB, nirB, nrdB, nrfB, nuoB, nusB, opgB, oppB, osmB, pabB, panB, paoB, pcnB, pdxB, pepB, pfkB, pflB, pgaB, pgpB, phoB, pitB, pldB, plsB, pncB, pntB, potB, poxB, ppdB, ppiB, pqiB, prfB, prkB, prmB, proB, pspB, pstB, ptrB, purB, puuB, pyrB, qorB, qseB, rbsB, rcsB, rdgB, recB, rhlB, rhtB, ribB, rihB, rlmB, rluB, rnhB, rplB, rpmB, rpoB, rpsB, rraB, rseB, rsmB, rssB, rstB, rsxB, ruvB, sapB, scpB, sdhB, secB, selB, serB, setB, slyB, smpB, sodB, sohB, speB, srlB, srmB, sspB, ssuB, sucB, sufB, suhB, talB, tatB, tauB, tdcB, tehB, tesB, thiB, thrB, tktB, tnaB, tolB, tomB, tonB, topB, treB, trpB, truB, trxB, tufB, tyrB, ubiB, ugpB, uhpB, uidB, ulaB, uspB, uvrB, uxaB, wcaB, xapB, xseB, zapB, zitB, znuB
GO:0110165	CC	e	cellular anatomical entity	276/336	1887/2550	0.0002300552060598511	1	276	0.05843402233920218	0.05696643526241698	0.058203967133142326	0.02921701116960109	aaeB, abgB, abrB, accB, aceB, acnB, acrB, agaB, aidB, alkB, allB, amiB, amtB, ansB, appB, araB, arcB, argB, arnB, aroB, arsB, ascB, asnB, atpB, bamB, bcsB, betB, bglB, btuB, cadB, caiB, carB, ccmB, chbB, cheB, clcB, clpB, cmtB, codB, cpdB, crcB, creB, csgB, cybB, cydB, cyoB, cysB, dacB, dapB, dcrB, dcuB, ddlB, ddpB, deoB, dinB, djlB, dkgB, dmsB, dnaB, dpiB, dppB, dsbB, dtpB, eamB, ecnB, efeB, elbB, emrB, entB, eptB, eutB, exbB, fabB, fbaB, fecB, feoB, fepB, fhuB, fklB, fkpB, flgB, flhB, folB, frdB, frlB, frmB, fruB, frvB, frwB, fryB, fsaB, ftnB, ftsB, gatB, gfcB, ghrB, glcB, glgB, glnB, glpB, gltB, gmhB, grxB, gshB, gsiB, guaB, gyrB, hdeB, hemB, hisB, hscB, hupB, hyaB, hybB, hyfB, ibpB, ihfB, infB, ispB, kdpB, kdsB, kefB, lamB, lepB, leuB, ligB, lipB, lolB, lptB, lpxB, lsrB, macB, marB, mdaB, mdlB, mdtB, melB, menB, metB, mglB, mgrB, miaB, mlaB, mltB, moaB, modB, moeB, motB, mrcB, mrdB, mreB, msrB, msyB, mukB, murB, nadB, nagB, napB, nfrB, nfsB, nhaB, nikB, nrdB, nrfB, nuoB, nusB, opgB, oppB, osmB, pabB, panB, paoB, pcnB, pdxB, pepB, pfkB, pflB, pgaB, pgpB, phoB, pitB, pldB, plsB, pncB, pntB, potB, poxB, ppdB, ppiB, pqiB, prfB, prkB, prmB, proB, pspB, pstB, ptrB, purB, puuB, pyrB, qorB, qseB, rbsB, rcsB, rdgB, recB, rhlB, rhtB, ribB, rihB, rlmB, rluB, rnhB, rplB, rpmB, rpoB, rpsB, rraB, rseB, rsmB, rssB, rstB, rsxB, ruvB, sapB, scpB, sdhB, secB, selB, serB, setB, slyB, smpB, sodB, sohB, speB, srlB, srmB, sspB, ssuB, sucB, suhB, talB, tatB, tauB, tdcB, tehB, tesB, thiB, thrB, tktB, tnaB, tolB, tomB, tonB, topB, treB, trpB, truB, trxB, tufB, tyrB, ubiB, ugpB, uhpB, uidB, ulaB, uspB, uvrB, uxaB, wcaB, xapB, xseB, zapB, zitB, znuB
GO:0005829	CC	e	cytosol	122/336	770/2550	0.010656334636478446	2	122	1.0	1.0	1.0	0.9022363325551751	accB, acnB, arcB, ascB, asnB, betB, bglB, carB, chbB, cheB, clpB, creB, cysB, dapB, ddlB, deoB, dnaB, dpiB, efeB, elbB, entB, eutB, fabB, fbaB, fklB, fkpB, frdB, frlB, frmB, ftnB, gatB, ghrB, glcB, glgB, glnB, glpB, gltB, gmhB, grxB, gshB, guaB, gyrB, hemB, hscB, hupB, ihfB, infB, ispB, kdsB, leuB, ligB, mdaB, menB, miaB, mlaB, moaB, moeB, msrB, msyB, mukB, murB, nadB, nagB, nfsB, nrdB, nusB, panB, pcnB, pdxB, pepB, pfkB, pflB, phoB, pncB, poxB, ppiB, prfB, prmB, proB, purB, pyrB, qorB, qseB, rcsB, rdgB, recB, rhlB, ribB, rihB, rlmB, rluB, rplB, rpmB, rpoB, rraB, rsmB, rssB, ruvB, scpB, secB, selB, smpB, speB, srmB, sspB, sucB, suhB, talB, tdcB, tehB, tesB, thrB, tktB, trpB, truB, trxB, tufB, tyrB, uxaB, wcaB, xseB, zapB
GO:0031225	CC	e	anchored component of membrane	4/336	10/2550	0.032444079876899554	3	4	1.0	1.0	1.0	1.0	dcrB, ecnB, lolB, mltB
GO:0003824	MF	e	catalytic activity	209/336	1378/2550	0.0014857153789797491	1	209	1.0	1.0	1.0	1.0	abgB, accB, aceB, acnB, agaB, aidB, aldB, alkB, allB, amiB, ansB, appB, araB, arcB, argB, arnB, aroB, ascB, aslB, asnB, astB, atpB, betB, bglB, bioB, caiB, carB, chbB, cheB, chpB, cmoB, cmtB, cpdB, cpsB, cybB, cydB, cyoB, dacB, dapB, ddlB, deoB, dinB, dkgB, dmsB, dnaB, dpiB, dsbB, dusB, efeB, elbB, entB, eptB, eutB, fabB, fadB, fbaB, feaB, fixB, fklB, fkpB, fldB, folB, frdB, frlB, frmB, fruB, frvB, frwB, fryB, fsaB, ftnB, fumB, gatB, ghrB, glcB, glgB, gloB, glpB, gltB, gmhB, grxB, gshB, guaB, gyrB, hcaB, hemB, hisB, holB, hrpB, hyaB, hybB, hyfB, hypB, ilvB, infB, ispB, kdsB, lepB, leuB, ligB, lipB, lptB, lpxB, macB, maeB, mdaB, menB, metB, mhpB, miaB, mltB, mngB, mobB, moeB, mrcB, mrdB, msrB, murB, nadB, nagB, nfsB, nirB, nrdB, nrfB, nuoB, opgB, otsB, pabB, panB, paoB, pcnB, pdxB, pepB, pfkB, pflB, pgaB, pgpB, pldB, plsB, pncB, pntB, polB, poxB, pphB, ppiB, prkB, prmB, proB, prpB, ptrB, purB, puuB, pyrB, qorB, rdgB, recB, rhaB, rhlB, ribB, rihB, rlmB, rluB, rnhB, rplB, rpoB, rsmB, rspB, rstB, rsxB, rutB, ruvB, sbcB, scpB, sdaB, sdhB, selB, serB, sodB, sohB, speB, srlB, srmB, ssuB, sucB, suhB, talB, tdcB, tehB, tesB, thrB, tktB, topB, treB, trpB, truB, trxB, ttdB, tufB, tyrB, ubiB, uhpB, ulaB, uvrB, uxaB, uxuB, wcaB, xdhB, xseB, xylB
GO:0005353	MF	e	fructose transmembrane transporter activity	4/336	7/2550	0.007475779631354398	7	4	1.0	1.0	1.0	1.0	fruB, frvB, frwB, fryB
GO:0022877	MF	e	protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity	4/336	7/2550	0.007475779631354398	8	4	1.0	1.0	1.0	1.0	fruB, frvB, frwB, fryB
GO:0008982	MF	e	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	10/336	33/2550	0.00771613377957379	5	10	1.0	1.0	1.0	1.0	agaB, chbB, fruB, frvB, frwB, fryB, gatB, srlB, treB, ulaB
GO:0004474	MF	e	malate synthase activity	2/336	2/2550	0.017317056285065077	5	2	1.0	1.0	1.0	1.0	aceB, glcB
GO:0016597	MF	e	amino acid binding	6/336	17/2550	0.01732701682315743	4	6	1.0	1.0	1.0	1.0	argB, asnB, carB, proB, pyrB, tdcB
GO:0090563	MF	e	protein-phosphocysteine-sugar phosphotransferase activity	8/336	27/2550	0.019150849973907983	5	8	1.0	1.0	1.0	1.0	chbB, fruB, frvB, frwB, fryB, gatB, treB, ulaB
GO:0016491	MF	e	oxidoreductase activity	55/336	318/2550	0.026327906207256457	2	55	1.0	1.0	1.0	1.0	aidB, aldB, alkB, appB, betB, cybB, cydB, cyoB, dapB, dkgB, dmsB, dsbB, dusB, efeB, fadB, feaB, fixB, fldB, frdB, ftnB, ghrB, glpB, gltB, grxB, guaB, hcaB, hyaB, hybB, hyfB, leuB, maeB, mdaB, mhpB, msrB, murB, nadB, nfsB, nirB, nrdB, nrfB, nuoB, paoB, pdxB, pntB, poxB, puuB, qorB, rspB, rsxB, sdhB, sodB, trxB, uxaB, uxuB, xdhB
GO:0005525	MF	e	GTP binding	9/336	33/2550	0.03202473914666625	8	9	1.0	1.0	1.0	1.0	cpsB, feoB, hypB, infB, moaB, mobB, mukB, selB, tufB
GO:0043177	MF	e	organic acid binding	9/336	35/2550	0.0398977785855213	3	9	1.0	1.0	1.0	1.0	argB, asnB, carB, dacB, mrcB, proB, pyrB, sucB, tdcB
