# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_bonferroni	p_sidak	p_holm	p_fdr_bh	study_items
GO:0031323	BP	e	regulation of cellular metabolic process	52/466	75/802	0.04862729438511647	4	52	1.0	1.0	1.0	1.0	arcA, birA, cheA, cspA, csrA, diaA, dnaA, dpiA, evgA, fhlA, fliA, gcvA, greA, higA, hipA, ihfA, lepA, lexA, lrhA, marA, miaA, mlrA, mprA, mtfA, mzrA, nusA, pepA, pspA, pstA, putA, raiA, rapA, rarA, rbbA, rcsA, rplA, rpsA, rraA, rseA, rstA, sdiA, selA, seqA, sfsA, slmA, slyA, sspA, stpA, tdcA, thyA, tktA, uhpA
GO:0060255	BP	e	regulation of macromolecule metabolic process	52/466	75/802	0.04862729438511647	4	52	1.0	1.0	1.0	1.0	arcA, birA, cheA, cspA, csrA, diaA, dksA, dnaA, dpiA, evgA, fhlA, fliA, gcvA, greA, higA, hipA, ihfA, lepA, lexA, lrhA, marA, miaA, mlrA, mprA, mtfA, mzrA, nusA, pepA, pspA, putA, raiA, rapA, rarA, rbbA, rcsA, rplA, rpsA, rraA, rseA, rstA, sdiA, selA, seqA, sfsA, slmA, slyA, sspA, stpA, tdcA, thyA, tktA, uhpA
GO:0080090	BP	e	regulation of primary metabolic process	51/466	74/802	0.04880749579234172	4	51	1.0	1.0	1.0	1.0	arcA, birA, cheA, cspA, csrA, diaA, dpiA, evgA, fhlA, fliA, frsA, gcvA, greA, higA, hipA, ihfA, lepA, lexA, lrhA, marA, miaA, mlrA, mprA, mtfA, mzrA, nusA, pepA, pspA, putA, raiA, rapA, rarA, rbbA, rcsA, rplA, rpsA, rraA, rseA, rstA, sdiA, selA, seqA, sfsA, slmA, slyA, sspA, stpA, tdcA, thyA, tktA, uhpA
GO:0009062	BP	p	fatty acid catabolic process	1/466	7/802	0.023771646263028558	8	1	1.0	1.0	1.0	1.0	fadA
GO:0033212	BP	p	iron import into cell	1/466	7/802	0.023771646263028558	11	1	1.0	1.0	1.0	1.0	fepA
GO:0072329	BP	p	monocarboxylic acid catabolic process	7/466	21/802	0.02448402669056253	7	7	1.0	1.0	1.0	1.0	dgoA, fadA, hdhA, mhpA, paaA, uxaA, uxuA
GO:0046916	BP	p	cellular transition metal ion homeostasis	2/466	9/802	0.03944302239286608	9	2	1.0	1.0	1.0	1.0	fepA, ftnA
GO:0044242	BP	p	cellular lipid catabolic process	2/466	9/802	0.03944302239286608	5	2	1.0	1.0	1.0	1.0	fadA, pgpA
GO:0006879	BP	p	cellular iron ion homeostasis	2/466	9/802	0.03944302239286608	10	2	1.0	1.0	1.0	1.0	fepA, ftnA
GO:0000287	MF	p	magnesium ion binding	19/466	44/802	0.042052687751242934	5	19	1.0	1.0	1.0	1.0	ackA, aphA, dmlA, hipA, menA, mobA, mocA, pdxA, pfkA, phoA, ppsA, purA, pykA, ribA, rnhA, sucA, thyA, ttcA, xylA
